lineas archivo                  trad     1a-rev  2a-rev
------+------------------------+--------+-------+-------
    38 preface.xml              OK       -       -
    85 chap-book.xml            OK       -       -
   117 bind.xml                 OK       -       -
   131 chap-x11.xml             OK       -       -
   135 services.xml             -        -       -
   143 slackware-basics.xml     OK       -       -
   149 inetd.xml                OK       -       -
   156 apache.xml               OK       -       -
   181 security.xml             PE       -       -
   216 chap-help.xml            PE       -       -
   258 sendmail.xml             PE       -       -
   265 chap-intro.xml           PE       -       -
   310 printing.xml             PE       -       -
   338 mutt.xml                 PE       -       -
   341 miscadmin.xml            PE       -       -
   377 latex.xml                PE       -       -
   398 concepts.xml             -        -       -
   444 chap-kernel.xml          -        -       -
   485 chap-usermgmt.xml        -        -       -
   527 netconfig.xml            -        -       -
   630 ipsec.xml                -        -       -
   652 chap-pkgmgmt.xml         PE       -       -
   703 chap-init.xml            -        -       -
   758 custom-installation.xml  -        -       -
   780 chap-procmgmt.xml        -        -       -
   868 chap-install.xml         -        -       -
  1044 chap-shell.xml           PE       -       -
  1924 chap-textproc.xml        -        -       -
  3475 chap-filesystem.xml      -        -       -
